MEAN,STD,SUM,FORMACION,Value,ColorCode,USO
0.546759776094,0.241558409769,6.01435753703,Matorral esclerofilo,7,#c6b044,Shrublands
4.95177674294,0.666929006577,9.90355348587,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
6.79636883736,0.458820581436,13.5927376747,Bosque esclerofilo,7,#c6b044,Shrublands
1.19471275806,0,1.19471275806,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.76737358073,1.45078684681,41.510603711,Matorral esclerofilo,7,#c6b044,Shrublands
0.827814638615,0,0.827814638615,Matorral esclerofilo,7,#c6b044,Shrublands
4.31662797928,0,4.31662797928,Bosque esclerofilo,7,#c6b044,Shrublands
3.928134799,0.706241726875,7.85626959801,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
8.57368659973,0,8.57368659973,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
5.5013705492,2.75849767508,22.0054821968,Bosque esclerofilo,7,#c6b044,Shrublands
0.839172333479,0.0828626453876,1.67834466696,Matorral esclerofilo,7,#c6b044,Shrublands
5.45159471035,0.423614519852,21.8063788414,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
4.25890731812,0,4.25890731812,Bosque esclerofilo,7,#c6b044,Shrublands
6.99771881104,0,6.99771881104,Bosque esclerofilo,7,#c6b044,Shrublands
0.394287926145,0.189190791359,3.15430340916,Matorral esclerofilo,7,#c6b044,Shrublands
0.688697993755,0,0.688697993755,Matorral esclerofilo,7,#c6b044,Shrublands
1.67926306725,0.274733440543,8.39631533623,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
2.99078407288,1.23450868781,29.9078407288,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
3.23677269618,0.398866614673,9.71031808853,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
6.79684114456,0,6.79684114456,Bosque esclerofilo,7,#c6b044,Shrublands
2.24396808942,0.316370061424,6.73190426826,Matorral esclerofilo,7,#c6b044,Shrublands
6.32079029083,0.601574345139,44.2455320358,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
1.77681234479,1.14468206854,5.33043703437,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
6.32738268375,0.662351363,25.309530735,Bosque esclerofilo,6,#c6b044,Shrublands
4.41638511419,1.87880316079,52.9966213703,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
4.18557395935,0.57786312785,20.9278697968,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.53639650345,0,2.53639650345,Matorral esclerofilo,7,#c6b044,Shrublands
6.42281806469,1.06969118769,25.6912722588,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
3.94485052427,0.427984592902,11.8345515728,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
0.255313204818,0.0503648661673,10.9784678072,Matorral esclerofilo,6,#c6b044,Shrublands
0.427733242512,0.0985187218292,1.28319972754,Matorral esclerofilo,6,#c6b044,Shrublands
5.00597190857,0,5.00597190857,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.83911237717,0.405388608108,14.1955618858,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.25301647186,0,2.25301647186,Matorral esclerofilo,7,#c6b044,Shrublands
3.86088061333,0,3.86088061333,Bosque esclerofilo,7,#c6b044,Shrublands
7.39536372821,1.28023612872,44.3721823692,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
7.77521264553,2.97734143034,31.1008505821,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
7.53799021244,1.91981655048,30.1519608498,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
3.66661496162,0.305006165895,18.3330748081,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
5.32910442352,0,5.32910442352,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
4.16811354955,1.10948020267,12.5043406487,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
8.04731353124,0.13869761903,24.1419405937,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.97612941265,0.103595614433,5.9522588253,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
1.36713932455,0.384980440153,5.46855729818,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
0.460661634803,0.0518192201853,0.921323269606,Matorral esclerofilo,6,#c6b044,Shrublands
0.805374145508,0,0.805374145508,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
3.16793394089,0.563215494156,6.33586788177,Bosque esclerofilo,6,#c6b044,Shrublands
2.96721285582,0.463100920946,11.8688514233,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
8.21211719513,0,8.21211719513,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
5.90784622232,2.71430228363,35.4470773339,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
8.62118434906,0.423201560974,17.2423686981,Bosque esclerofilo,16,#f9ffa4,Bare soil
7.28489732742,0.483522620207,43.7093839645,Bosque esclerofilo,7,#c6b044,Shrublands
2.29989586274,1.3264539618,20.6990627646,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
7.80657987595,2.0885832012,39.0328993797,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.68121790886,0.34829669346,8.04365372658,Matorral esclerofilo,7,#c6b044,Shrublands
5.66074728966,0.457781620431,33.9644837379,Bosque esclerofilo,6,#c6b044,Shrublands
5.11260604858,0.043607711792,10.2252120972,Bosque esclerofilo,7,#c6b044,Shrublands
1.25957701206,0.287756545154,6.29788506031,Matorral esclerofilo,7,#c6b044,Shrublands
3.98482529322,0.0894456334154,11.9544758797,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
1.91398668289,0.341942717223,7.65594673157,Matorral esclerofilo,7,#c6b044,Shrublands
0.931720089912,0.379935841991,4.65860044956,Matorral esclerofilo,7,#c6b044,Shrublands
2.11832666397,0,2.11832666397,Matorral esclerofilo,7,#c6b044,Shrublands
0.92926388979,0,0.92926388979,Matorral esclerofilo,7,#c6b044,Shrublands
6.93234071732,0.586226890511,34.6617035866,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.06972712278,0.70768086521,8.27890849113,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
3.23521548823,1.03820205371,61.4690942764,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
7.23156833649,0,7.23156833649,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
6.9356739521,1.12216069976,27.7426958084,Bosque esclerofilo,7,#c6b044,Shrublands
3.28497219086,0.410388791536,9.85491657257,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
2.29850053787,0,2.29850053787,Matorral esclerofilo,7,#c6b044,Shrublands
3.60190234184,0.708210162773,18.0095117092,Bosque esclerofilo,7,#c6b044,Shrublands
3.37611925602,0.657068232807,13.5044770241,Matorral esclerofilo,6,#c6b044,Shrublands
4.21559611956,0.671592825543,12.6467883587,Matorral esclerofilo,7,#c6b044,Shrublands
6.29682795207,0.440602628825,18.8904838562,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
0.910161316395,0.3941796422,1.82032263279,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
0.464162379503,0,0.464162379503,Bosque esclerofilo,20,#5E5502,Exotic forests
2.81290531158,0,2.81290531158,Bosque esclerofilo,7,#c6b044,Shrublands
4.58344864845,0.0271546840668,9.16689729691,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
0.487449020147,0,0.487449020147,Matorral esclerofilo,7,#c6b044,Shrublands
2.38496088982,0.0178933143616,4.76992177963,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
3.01138549447,0.952248313479,60.2277098894,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
4.0799536705,1.3767033552,16.319814682,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
5.4712638855,0,5.4712638855,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
4.57086404165,0.333051760456,13.7125921249,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
6.84141235352,0.7705142642,34.2070617676,Bosque esclerofilo,7,#c6b044,Shrublands
0.462990000844,0.0385137051344,0.925980001688,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
0.633353918791,0.0830335319042,1.26670783758,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
1.86481885239,0.645622742251,29.8371016383,Matorral esclerofilo,6,#c6b044,Shrublands
4.72393385569,0.063753039927,14.1718015671,Matorral esclerofilo,7,#c6b044,Shrublands
4.31076134954,0.965501681255,30.1753294468,Matorral esclerofilo,6,#c6b044,Shrublands
6.85610938072,0.662016153336,13.7122187614,Bosque esclerofilo,6,#c6b044,Shrublands
1.9319562912,0.510365486145,3.8639125824,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
3.25132206082,1.13690193615,13.0052882433,Matorral esclerofilo,7,#c6b044,Shrublands
2.34510658469,1.2850949181,16.4157460928,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
2.73244935274,1.77116885288,8.19734805822,Bosque esclerofilo,7,#c6b044,Shrublands
3.80049753189,0,3.80049753189,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
0.324356221408,0.143036561524,3.24356221408,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
2.95682133947,0.5259267265,20.6977493763,Matorral esclerofilo,6,#c6b044,Shrublands
4.45467066765,0.480863096471,13.3640120029,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
4.52526156108,0.217930600826,13.5757846832,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
